127.0.0.1 - - [30/Jun/2021:11:22:23 +0700] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [30/Jun/2021:11:22:29 +0700] "GET /LC HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Jun/2021:11:22:31 +0700] "GET /LC/ HTTP/1.1" 200 20670
0:0:0:0:0:0:0:1 - - [30/Jun/2021:11:22:32 +0700] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [30/Jun/2021:11:22:34 +0700] "GET /LC/search?txt=l HTTP/1.1" 200 10349
0:0:0:0:0:0:0:1 - - [30/Jun/2021:11:22:34 +0700] "GET /LC/search?txt=la HTTP/1.1" 200 7093
0:0:0:0:0:0:0:1 - - [30/Jun/2021:11:23:09 +0700] "GET /LC/ HTTP/1.1" 200 20670
0:0:0:0:0:0:0:1 - - [30/Jun/2021:11:23:11 +0700] "GET /LC/search?txt=l HTTP/1.1" 200 10349
0:0:0:0:0:0:0:1 - - [30/Jun/2021:11:23:12 +0700] "GET /LC/search?txt=la HTTP/1.1" 200 7093
0:0:0:0:0:0:0:1 - - [30/Jun/2021:11:23:12 +0700] "GET /LC/search?txt=lap HTTP/1.1" 200 7093
0:0:0:0:0:0:0:1 - - [30/Jun/2021:11:23:16 +0700] "GET /LC/ HTTP/1.1" 200 20670
0:0:0:0:0:0:0:1 - - [30/Jun/2021:11:23:21 +0700] "GET /LC/search?txt=lap HTTP/1.1" 200 7093
0:0:0:0:0:0:0:1 - - [30/Jun/2021:11:23:21 +0700] "GET /LC/search?txt=la HTTP/1.1" 200 7093
0:0:0:0:0:0:0:1 - - [30/Jun/2021:11:23:21 +0700] "GET /LC/search?txt=l HTTP/1.1" 200 10349
0:0:0:0:0:0:0:1 - - [30/Jun/2021:11:23:24 +0700] "GET /LC/search?txt=la HTTP/1.1" 200 7093
0:0:0:0:0:0:0:1 - - [30/Jun/2021:11:23:24 +0700] "GET /LC/search?txt=l HTTP/1.1" 200 10349
0:0:0:0:0:0:0:1 - - [30/Jun/2021:11:23:24 +0700] "GET /LC/search?txt= HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [30/Jun/2021:11:23:27 +0700] "GET /LC/search?txt=c HTTP/1.1" 200 13416
0:0:0:0:0:0:0:1 - - [30/Jun/2021:11:23:27 +0700] "GET /LC/search?txt=ca HTTP/1.1" 200 7266
0:0:0:0:0:0:0:1 - - [30/Jun/2021:11:23:30 +0700] "GET /LC/search?txt=c HTTP/1.1" 200 13416
0:0:0:0:0:0:0:1 - - [30/Jun/2021:11:23:30 +0700] "GET /LC/search?txt= HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [30/Jun/2021:11:24:31 +0700] "GET /LC/login-admin HTTP/1.1" 200 2742
0:0:0:0:0:0:0:1 - - [30/Jun/2021:11:24:39 +0700] "POST /LC/login-admin HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Jun/2021:11:24:40 +0700] "GET /LC/management-order HTTP/1.1" 200 20857
