127.0.0.1 - - [06/Jul/2021:22:45:18 +0700] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [06/Jul/2021:22:45:42 +0700] "GET /Servlet/Login.jsp HTTP/1.1" 200 242
0:0:0:0:0:0:0:1 - - [06/Jul/2021:22:46:06 +0700] "GET /Servlet/login?ten=xyz HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Jul/2021:22:46:06 +0700] "GET /Servlet/Login.jsp HTTP/1.1" 200 242
0:0:0:0:0:0:0:1 - - [06/Jul/2021:22:46:23 +0700] "GET /Servlet/login?ten=Nguy%E1%BB%85n+H%E1%BB%AFu+C%C6%B0%E1%BB%9Dng HTTP/1.1" 500 1649
0:0:0:0:0:0:0:1 - - [06/Jul/2021:22:47:40 +0700] "GET /Servlet/ HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [06/Jul/2021:22:47:47 +0700] "GET /Servlet/Login.jsp HTTP/1.1" 200 242
0:0:0:0:0:0:0:1 - - [06/Jul/2021:22:47:51 +0700] "GET /Servlet/login?ten=aaaa HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Jul/2021:22:47:51 +0700] "GET /Servlet/Login.jsp HTTP/1.1" 200 242
0:0:0:0:0:0:0:1 - - [06/Jul/2021:22:47:57 +0700] "GET /Servlet/login?ten=cuong HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Jul/2021:22:47:57 +0700] "GET /Servlet/home HTTP/1.1" 500 1303
0:0:0:0:0:0:0:1 - - [06/Jul/2021:22:52:30 +0700] "GET /Servlet/home HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Jul/2021:22:52:30 +0700] "GET /Servlet/Login.jsp HTTP/1.1" 200 242
0:0:0:0:0:0:0:1 - - [06/Jul/2021:22:52:37 +0700] "GET /Servlet/login?ten=1121212 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Jul/2021:22:52:37 +0700] "GET /Servlet/Login.jsp HTTP/1.1" 200 242
0:0:0:0:0:0:0:1 - - [06/Jul/2021:22:52:40 +0700] "GET /Servlet/login?ten=cuong HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Jul/2021:22:52:40 +0700] "GET /Servlet/home HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Jul/2021:22:52:40 +0700] "GET /Servlet/Login.jsp HTTP/1.1" 200 242
0:0:0:0:0:0:0:1 - - [06/Jul/2021:22:52:45 +0700] "GET /Servlet/login?ten=cuong HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Jul/2021:22:52:45 +0700] "GET /Servlet/home HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Jul/2021:22:52:45 +0700] "GET /Servlet/Login.jsp HTTP/1.1" 200 242
0:0:0:0:0:0:0:1 - - [06/Jul/2021:22:53:09 +0700] "GET /Servlet/login?ten=cuong HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Jul/2021:22:53:09 +0700] "GET /Servlet/home HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Jul/2021:22:53:09 +0700] "GET /Servlet/Home.jsp HTTP/1.1" 200 151
